,key,year,title,author,abstract,hit
1,1,2017,Trust and mobile commerce in North America,"Hillman, S. and C. Neustaedter","Mobile Commerce (mCommerce) activities include the act of shopping and buying on mobile devices, along with the more recent emergence of mobile payment systems. Within North America, mCommerce activities have become increasingly popular and will likely continue on this upwards trend as mobile devices further proliferate markets. Historically, one common issue with the adoption and use of eCommerce systems (e.g., commerce activities on personal computers) is trust. Yet we know little of how trust and other social factors may affect mCommerce usage-a new genre of commerce activities that explicitly occur on mobile devices. To help address this problem, we have conducted two studies that explore users' mCommerce activities. The first is a diary and interview study of mCommerce shoppers who have already adopted the technology and shop on their mobile devices regularly. Our study explores typical mCommerce routines and behaviors along with issues of trust, given its long-term concern for eCommerce. The second is a diary and interview study of new and existing users of mobile payment services in North America. Participants used a variety of services, including Google Wallet, Amazon Payments, LevelUp, Square and company apps geared towards payments (e.g., Starbucks). Our results show that when it comes to shopping on mobile devices, people have few trust concerns. Yet when mobile devices are used for payments within physical stores, trust issues emerge along with pre-purchase anxiety and mental model challenges. We discuss these results and show the value in adapting and developing new trust mechanisms for mCommerce. (PsycInfo Database Record (c) 2021 APA, all rights reserved)",@
2,2,2018,Zones of Alienation in Global Higher Education: Corporate Abuse and Leadership Failures,"Oleksiyenko, A.","Worldwide, academic ecosystems suffer from the industrialization of creative work and evaluative hegemony. Managerial obsession with growth has corroded collegiality, breeding mistrust, anxiety and burnout -- negatively impacting the physical and mental health of faculty members. Concerned with benchmarking, audits and competitive self-assessment, academic managers generate accountability-heavy workloads, which are of doubtful value for critical inquiry, but a source of gratification for a metrics-minded bureaucracy and its coercive pace setters. Legitimized and propelled by the knowledge factories of global neoliberalism, this approach becomes particularly corrosive in the 'zones of alienation' created through the malignant interaction of two phenomena: 'leaderism' and 'soldierism'. This paper explains how these phenomena emerge as a result of leadership failures and corporate abuse in global higher education. (As Provided)",@
3,3,2007,A Zone for Deliberation? Methodological Challenges in Fields of Political Unrest,"Westrheim, K. and S. Lillejord",-,@
4,4,2016,Zeroing in on the effect of the schizophrenia label on stigmatizing attitudes: A large-scale study,"Imhoff, R.","The idea that psychiatric diagnoses are not mere descriptors of a symptomatology but create incrementally negative effects in patients has received considerable support in the literature. The flipside to this effect, that calling someone by a psychiatric diagnosis also has an effect on how this person is perceived by others, however, has been less well documented and remains disputed. An experimental study was conducted with a large sample (N = 2265) to ensure statistical power to detect even small effects of such adding a psychiatric diagnosis to a description of symptoms or not. Dependent variables were chosen in an exploratory manner and tests were corrected for alpha inflation. Results show that calling the identical symptomatology schizophrenia (vs not labeling it) led to greater perceptions of aggressiveness, less trustworthiness, more anxiety toward this person, and stronger assumptions this person feels aggression-related emotions. Although stigmatizing attitudes were generally lower for persons with personal experiences with mental illnesses as either a patient or a close relative, such personal involvement did not moderate the effect. Implications of these findings and limitations of the study are discussed. (PsycInfo Database Record (c) 2021 APA, all rights reserved)",@
5,5,2016,Zeroing in on the Effect of the Schizophrenia Label on Stigmatizing Attitudes: A Large-scale Study,"Imhoff, R.","The idea that psychiatric diagnoses are not mere descriptors of a symptomatology but create incrementally negative effects in patients has received considerable support in the literature. The flipside to this effect, that calling someone by a psychiatric diagnosis also has an effect on how this person is perceived by others, however, has been less well documented and remains disputed. An experimental study was conducted with a large sample (N = 2265) to ensure statistical power to detect even small effects of such adding a psychiatric diagnosis to a description of symptoms or not. Dependent variables were chosen in an exploratory manner and tests were corrected for alpha inflation. Results show that calling the identical symptomatology schizophrenia (vs not labeling it) led to greater perceptions of aggressiveness, less trustworthiness, more anxiety toward this person, and stronger assumptions this person feels aggression-related emotions. Although stigmatizing attitudes were generally lower for persons with personal experiences with mental illnesses as either a patient or a close relative, such personal involvement did not moderate the effect. Implications of these findings and limitations of the study are discussed.",+
6,6,2016,Zeroing in on the Effect of the Schizophrenia Label on Stigmatizing Attitudes: A Large-scale Study,"Imhoff, R.","The idea that psychiatric diagnoses are not mere descriptors of a symptomatology but create incrementally negative effects in patients has received considerable support in the literature. The flipside to this effect, that calling someone by a psychiatric diagnosis also has an effect on how this person is perceived by others, however, has been less well documented and remains disputed. An experimental study was conducted with a large sample (N = 2265) to ensure statistical power to detect even small effects of such adding a psychiatric diagnosis to a description of symptoms or not. Dependent variables were chosen in an exploratory manner and tests were corrected for alpha inflation. Results show that calling the identical symptomatology schizophrenia (vs not labeling it) led to greater perceptions of aggressiveness, less trustworthiness, more anxiety toward this person, and stronger assumptions this person feels aggression-related emotions. Although stigmatizing attitudes were generally lower for persons with personal experiences with mental illnesses as either a patient or a close relative, such personal involvement did not moderate the effect. Implications of these findings and limitations of the study are discussed.",+
7,7,2006,The Zero-vision: Potential side effects of communicating health perfection and zero risk,"Fugelli, P.","Public health education may have harmful side effects: generate fear, give rise to healthism and contribute to a medical sorting society. To prevent these adverse reactions a new deal for public health communication is presented. It is commended to move public health from omnipotence to moderation, from life style to living conditions, from risk to the bright sides of health, from statistical clone to the holy individual. Furthermore public health communication ought to include uncertainty as authoritarian truth mongering erodes trust. The public health educator must convey compassion and dedication. Rational techno-info is not sufficient. The last golden rule for a new public health is to respect the people. The people are not an inferior mass subjected to basic instincts and irrational fears. Common sense and lay experiences may contribute to the wise management of risk. Therefore public health should develop a people-centered method, recognizing people's own values, perceptions and potentials for preventing disease and promoting health. (PsycInfo Database Record (c) 2021 APA, all rights reserved)",@
8,8,2012,Zen meditation in psychotherapy: Techniques for clinical practice,"Simpkins, C. and A.M. Simpkins","Zen Meditation in Psychotherapy teaches meditation and shows how to work with it as a therapeutic tool. With the awareness meditation fosters, people can do what they need and express themselves as they truly are, beyond psychological disturbance and problems, fully and uniquely. We address both helpers and sufferers. Therapists will find definite methods to follow for a broad range of psychological disturbances. They will also find ways to enhance their own life, to feel and do their best, unified with life's tasks, both professionally and personally. These methods can be seamlessly integrated into the treatments they already do. Those who are suffering from psychological problems will find clear practices that they can follow to overcome difficulties. And with sound science behind the meditations included here, everyone can have confidence that these meditations will facilitate the brain-mind-body system at many levels. This book is organized into four parts with 12 chapters and an appendix. Part I is devoted to research on meditation. Chapter 1 gives the latest research findings about meditation, its efficacy, and its psychological effects. Chapter 2 provides the neuroscience findings about how meditation changes the brain. Part II reveals the development of the meditation tradition in Chapter 3, key themes in Chapter 4, and fundamental practices that can help you and your clients in Chapter 5. Each chapter in Part III deals with common psychological problems. Chapter 6 offers a general protocol for integrating meditation into treatments at every phase. Chapter 7, Regulating Affect, gives the latest models of emotion with the brain science behind them, and shows why meditation is helpful and then how to apply it for problems such as depression and anger. Chapter 8 deals with anxiety and trauma. Chapter 9 addresses impulse problems, including addiction and weight management. Chapter lo shows how to help clients foster healthy relationships. Part IV is for the care and enhancement of therapists. Chapter 11 presents meditative ways to reduce stress and burnout. Chapter 12 gives meditative training to enhance therapeutic sensitivities. The conclusion is a culmination, so that you and your clients can discover clear, awake awareness in every moment. We also include an appendix that covers brain basics, to help those who are unfamiliar with the brain to better understand how meditation influences the nervous system as well as thoughts, emotions, and behavior. Many of the chapters provide protocols to follow with specific exercises to do. We speak directly to those doing the exercises so that therapists have scripts to follow and clients can use these methods themselves. We encourage you to creatively individualize any of these methods, however, to suit your personal therapeutic style and the unique situation and needs of your clients. Please use these methods as guidelines, but always trust your own sensitivities and instincts. We have also included traditional stories throughout the book. (PsycInfo Database Record (c) 2021 APA, all rights reserved)",@
9,9,2018,z Patient's Decision to Disclose the Use of Traditional and Complementary Medicine to Medical Doctor: A Descriptive Phenomenology Study,"Kelak, J.A., W.L. Cheah, and R. Safii","Nondisclosure of traditional and complementary medicine (T&CM) use may cause individual to be at risk of undue harm. This study aimed to explore patient's experience and views on their decision to disclose the use of T&CM to the doctor. An exploratory qualitative study using in-depth interview involving 10 primary care clinics attendees in Kuching was conducted. The results indicated that disclosure of T&CM use will motivate them to get information, increase doctor's awareness, and get support from family and friends for disclosure. Fear of negative relationship and negative response from doctors was a barrier for disclosure. Doctor's interpersonal and communication skills of being involved, treating patients respectfully, listening attentively, respecting privacy, and taking time for the patient were a critical component for disclosure. Intrapersonal trust regarding doctor influences their satisfaction on healthcare. Women are more open and receptive to a health concern and expressing negative emotions and tend to share problems, whereas men always described themselves as healthy, tended to keep their own personal feeling to themselves, and tended to not share. The doctor should consider gender differences in disclosure, their attitude towards T&CM use, and gained patient's trust in the delivery of healthcare services. Good interpersonal and communication skills must be maintained between doctor and patients.",@
10,10,2020,YouTube as a source of information on COVID-19 and rheumatic disease link,"Kocyigit, B.F., M.S. Akaltun, and A.R. Sahin","INTRODUCTION/OBJECTIVES: The current 2019 novel coronavirus outbreak is continuing to spread rapidly despite all efforts. Patients with rheumatic disease may have higher levels of anxiety due to their disease characteristics and medications. The web-based platforms are widely used sources for gaining medical information. YouTube presents a wide range of medical information, but there are concerns on its quality. Therefore, we aimed to evaluate the quality of the YouTube videos about COVID-19 and rheumatic diseases link. METHOD: This is a descriptive study. A total of 360 videos listed by the YouTube search engine (www.youtube.com) in response to six search terms were evaluated. The Global Quality Scale (GQS) was performed to evaluate video quality. Three groups were formed according to GQS scores: high quality, moderate quality, and low quality. Video parameters were compared between these groups. RESULTS: After the exclusion criteria, 46 videos were reviewed. Of the videos, 41.4% (n<U+2009>=<U+2009>19) were of high-quality group, 21.7% (n<U+2009>=<U+2009>10) were moderate-quality group, and 36.9% (n<U+2009>=<U+2009>17) were of low-quality group. Significant difference was detected between the quality groups in terms of views per day (p<U+2009>=<U+2009>0.004). No significant difference was detected in comments per day (p<U+2009>=<U+2009>0.139) and like ratio (p<U+2009>=<U+2009>0.232). CONCLUSIONS: Besides high-quality videos, there were substantially low-quality videos that could cause misleading information to spread rapidly during the pandemic. Videos from trustworthy sources such as universities, academics, and physicians should be kept in the foreground.Key Points<U+2022>Web-based platforms have become an important source of health-related information. One of the most important online sources is YouTube because it is easy accessible and free.<U+2022>Of the videos evaluating the link between COVID-19 and rheumatic diseases, 41.4% (n<U+2009>=<U+2009>19) were of high quality.<U+2022>The main sources of high-quality videos were academics/universities and physicians.<U+2022>The most frequently discussed topics in videos were the place of hydroxychloroquine in the treatment of COVID-19 and whether to continue the use of existing rheumatological drugs.",@
11,11,2020,YouTube as a source of information on COVID-19 and rheumatic disease link,"Kocyigit, B.F., M.S. Akaltun, and A.R. Sahin","Introduction/objectives The current 2019 novel coronavirus outbreak is continuing to spread rapidly despite all efforts. Patients with rheumatic disease may have higher levels of anxiety due to their disease characteristics and medications. The web-based platforms are widely used sources for gaining medical information. YouTube presents a wide range of medical information, but there are concerns on its quality. Therefore, we aimed to evaluate the quality of the YouTube videos about COVID-19 and rheumatic diseases link. Method This is a descriptive study. A total of 360 videos listed by the YouTube search engine () in response to six search terms were evaluated. The Global Quality Scale (GQS) was performed to evaluate video quality. Three groups were formed according to GQS scores: high quality, moderate quality, and low quality. Video parameters were compared between these groups. Results After the exclusion criteria, 46 videos were reviewed. Of the videos, 41.4% (n = 19) were of high-quality group, 21.7% (n = 10) were moderate-quality group, and 36.9% (n = 17) were of low-quality group. Significant difference was detected between the quality groups in terms of views per day (p = 0.004). No significant difference was detected in comments per day (p = 0.139) and like ratio (p = 0.232). Conclusions Besides high-quality videos, there were substantially low-quality videos that could cause misleading information to spread rapidly during the pandemic. Videos from trustworthy sources such as universities, academics, and physicians should be kept in the foreground.",+
12,12,2021,Youth Weigh In: Views on Advanced Neurotechnology for Drug-Resistant Epilepsy,"Udwadia, F.R., et al.","Background: Epilepsy affects over 500,000 children in North America of whom 30% have drug-resistant epilepsy. Advancements with neurotechnologies show promising benefits, but the perceptions of these procedures by youth is unknown. Methods: We conducted semistructured interviews with 10 youth in British Columbia, Canada who underwent procedures for drug-resistant epilepsy involving different forms of neurotechnology (subdural grids, vagus nerve stimulation, responsive neurostimulation). Interviews were analyzed using the constant comparative qualitative method. Results: Four major thematic categories emerged from the interviews. Treatment values, impact of the disorder, personal context, and impact of neurotechnology. Conclusions: Besides the predictable goal of seizure reduction, a desire for autonomy and the importance of trust in the medical team emerged as dominant values within the 4 thematic categories that were explicit to the use of new neurotechnologies for the management of drug-resistant epilepsy.",@
13,13,2020,Youth perspective on outreach service: A safety net for at-risk youth in a municipality,"Oldeide, O., I. Holsen, and E. Fosse","At-risk youth often rely on different municipal services, such as child welfare services, social services and medical services. All of these services play an important role in preventing drug use and promoting well-being, following the health promoting principles in the Norwegian Public Health Act of 2012. While the goal is for these services to coordinate their actions, many youths fall through the cracks of the system. Some municipalities have developed outreach services aimed at helping these at-risk youth. This study gives insight into the relationship between the outreach service and the youths, and how the youths experience the outreach service as compared to other municipal services through individual interviews and focus groups. The findings demonstrate that the outreach service has legitimacy as a trustworthy service, emphasizing the importance of at-risk youth having trusting relationships with professionals. The outreach service also promotes the youth's empowerment, which was contrasted to the deficit-focus the youths experienced with other services. The outreach service's resource-orientation endorses the need for empowering-oriented approaches aimed at at-risk youths. The findings also show that the outreach service is able to aid the youths in navigating with the other services. We discuss the outreach service role as a ""safety net"" between disintegrated services in the municipal organization, enabled by their legitimacy as a trustworthy service and the empowering approach. The study illustrates the valuable role a service such as the outreach service can play, both for the individual at-risk youth and also on a structural level within a municipal organization. (PsycInfo Database Record (c) 2021 APA, all rights reserved)",@
14,14,2020,Youth perspective on outreach service: A safety net for at-risk youth in a municipality,"Oldeide, O., I. Holsen, and E. Fosse","At-risk youth often rely on different municipal services, such as child welfare services, social services and medical services. All of these services play an important role in preventing drug use and promoting well-being, following the health promoting principles in the Norwegian Public Health Act of 2012. While the goal is for these services to coordinate their actions, many youths fall through the cracks of the system. Some municipalities have developed outreach services aimed at helping these at-risk youth. This study gives insight into the relationship between the outreach service and the youths, and how the youths experience the outreach service as compared to other municipal services through individual interviews and focus groups. The findings demonstrate that the outreach service has legitimacy as a trustworthy service, emphasizing the importance of at-risk youth having trusting relationships with professionals. The outreach service also promotes the youth's empowerment, which was contrasted to the deficit-focus the youths experienced with other services. The outreach service's resource-orientation endorses the need for empowering-oriented approaches aimed at at-risk youths. The findings also show that the outreach service is able to aid the youths in navigating with the other services. We discuss the outreach service role as a ""safety net"" between disintegrated services in the municipal organization, enabled by their legitimacy as a trustworthy service and the empowering approach. The study illustrates the valuable role a service such as the outreach service can play, both for the individual at-risk youth and also on a structural level within a municipal organization.",+
